marketcap,volume,timestamp,name,symbol,slug
1089787140.9041514,164059721.25079295,,,,tether
1081711145.3681974,147443034.80255774,,,,tether
1040536465.3001064,227034169.6912667,,,,tether
1079646009120.7388,61696004735.95695,,,,cardano
466934170135.17035,52018751754.36042,,,,cardano
101381074272.82687,4392656297.297935,,,,cardano
64538730791.89946,27238704823.46822,,,,cardano
55795362812.77694,162927017301.84094,,,,cardano
55580393492.78384,7075537750.299573,,,,cardano
54671183519.00901,8064942441.018638,,,,cardano
37117326722.60037,2381851607.164854,,,,cardano
27070646550.024002,7375326054.641679,,,,cardano
25659995740.74873,11490616263.42628,,,,cardano
20975485560.13515,3085866393.110132,,,,cardano
20615572057.163265,641758980.2916243,,,,cardano
16897799235.887249,4494441480.21667,,,,cardano
14382240741.817444,2494385674.3730154,,,,cardano
14264912536.664877,2110101187.1090434,,,,cardano
13675631308.952553,13091332598.413498,,,,cardano
12050560640.581993,396689663.34943205,,,,cardano
12050439999.18832,9550963068.904085,,,,cardano
11529078657.35703,354102571.2903244,,,,cardano
10165170493.631905,3559512607.060017,,,,cardano
9994246021.631067,283262836.8258186,,,,cardano
10008986986.817421,986016837.6331116,,,,cardano
9568228985.24793,6950211525.516094,,,,cardano
8408443123.645745,615618583.5831556,,,,cardano
8203959232.898095,1478163002.383262,,,,cardano
7799613620.754869,8782125390.634129,,,,cardano
6601590050.94691,460496647.51888734,,,,cardano
6560398745.044624,1824043747.4553757,,,,cardano
6326713209.311877,429662554.19584274,,,,cardano
6053677775.58322,195865005.99694893,,,,cardano
5841901499.814023,814644975.7455525,,,,cardano
5785938092.49432,109860848.41000652,,,,cardano
5778597317.645634,381411872.21600175,,,,cardano
5347940314.424069,350275910.0211909,,,,cardano
5181326299.520671,321177467.6369935,,,,cardano
5153007396.035365,1494294864.9598,,,,cardano
5121863195.881598,57036181.89378007,,,,cardano
5046500043.67912,369080485.4762549,,,,cardano
4705609904.489036,517819451.17503875,,,,cardano
4701629564.653018,2061048149.9521098,,,,cardano
4590998446.694672,1532881520.3008559,,,,cardano
4532788018.462711,109003356.50906597,,,,cardano
4453050994.498135,241364936.96907362,,,,cardano
4153552894.102049,1222795168.714254,,,,cardano
4118501658.564442,108138542.91188186,,,,cardano
3954244776.1947217,224369101.7244379,,,,cardano
3691318615.4351854,192131317.27543086,,,,cardano
3595176373.231509,358293858.06693363,,,,cardano
3548735384.943502,953141249.4492608,,,,cardano
3347286698.9067793,204708925.18957132,,,,cardano
3189684718.6183667,73418297.50651774,,,,cardano
3148426297.6259775,184457450.47044328,,,,cardano
3073958017.946327,1939407.275924,,,,cardano
2812561356.805537,36269120.44606295,,,,cardano
2669994948.930002,346664697.4521099,,,,cardano
2643814405.6530614,425419150.411839,,,,cardano
2582067473.1871514,180651425.22739786,,,,cardano
2532737267.4481664,1422093278.6643248,,,,cardano
2355028238.4830484,312317323.1136952,,,,cardano
2354298069.3445854,260894594.17577997,,,,cardano
2272624498.671368,242096019.77494293,,,,cardano
2196327114.651496,9624625.8726399,,,,cardano
2168713601.9601483,88534643.95885135,,,,cardano
2124175740.0221038,510689237.1034167,,,,cardano
